"","ano","time","vitoria","empate","derrota","GP","GC","SG","campeao1","campeao4","derrotado4"
"1",2012,"Atlético Goianiense",3,7,10,20,35,-15,0,0,1
"2",2012,"Atlético Mineiro",13,5,2,36,17,19,0,1,0
"3",2012,"Bahia",4,8,8,18,25,-7,0,0,0
"4",2012,"Botafogo",8,4,8,30,28,2,0,0,0
"5",2012,"Corinthians",6,7,7,21,21,0,0,0,0
"6",2012,"Coritiba",6,4,10,32,37,-5,0,0,0
"7",2012,"Cruzeiro",9,4,7,26,27,-1,0,0,0
"8",2012,"Figueirense",3,5,12,20,36,-16,0,0,1
"9",2012,"Flamengo",8,6,6,24,24,0,0,0,0
"10",2012,"Fluminense",12,7,1,32,12,20,1,1,0
"11",2012,"Grêmio",13,1,6,31,16,15,0,1,0
"12",2012,"Internacional",8,7,5,22,16,6,0,0,0
"13",2012,"Náutico",8,3,9,27,31,-4,0,0,0
"14",2012,"Palmeiras",4,4,12,18,26,-8,0,0,1
"15",2012,"Ponte Preta",6,6,8,23,28,-5,0,0,0
"16",2012,"Portuguesa",6,7,7,20,21,-1,0,0,0
"17",2012,"Santos",6,8,6,24,26,-2,0,0,0
"18",2012,"São Paulo",11,1,8,33,24,9,0,1,0
"19",2012,"Sport",3,7,10,14,27,-13,0,0,1
"20",2012,"Vasco da Gama",10,5,5,25,19,6,0,0,0
"21",2013,"Athletico Paranaense",9,8,3,35,25,10,0,1,0
"22",2013,"Atlético Mineiro",7,7,6,25,22,3,0,0,0
"23",2013,"Bahia",6,6,8,20,26,-6,0,0,0
"24",2013,"Botafogo",11,6,3,33,21,12,0,1,0
"25",2013,"Corinthians",7,9,4,19,9,10,0,0,0
"26",2013,"Coritiba",7,7,6,23,23,0,0,0,0
"27",2013,"Criciuma",7,3,10,27,33,-6,0,0,1
"28",2013,"Cruzeiro",13,4,3,44,19,25,1,1,0
"29",2013,"Flamengo",6,7,7,21,24,-3,0,0,0
"30",2013,"Fluminense",6,5,9,23,27,-4,0,0,1
"31",2013,"Goiás",6,8,6,20,24,-4,0,0,0
"32",2013,"Grêmio",11,4,5,28,19,9,0,1,0
"33",2013,"Internacional",7,10,3,34,29,5,0,0,0
"34",2013,"Náutico",2,4,14,10,35,-25,0,0,1
"35",2013,"Ponte Preta",4,3,13,20,35,-15,0,0,1
"36",2013,"Portuguesa",5,7,8,28,32,-4,0,0,0
"37",2013,"Santos",7,8,5,24,18,6,0,0,0
"38",2013,"São Paulo",5,6,9,18,22,-4,0,0,0
"39",2013,"Vasco da Gama",6,6,8,29,34,-5,0,0,1
"40",2013,"Vitória",6,6,8,25,29,-4,0,0,0
"41",2014,"Athletico Paranaense",6,7,7,25,27,-2,0,0,0
"42",2014,"Atlético Mineiro",8,6,6,24,20,4,0,0,0
"43",2014,"Bahia",3,8,9,12,19,-7,0,0,1
"44",2014,"Botafogo",7,3,10,21,22,-1,0,0,1
"45",2014,"Chapecoense",5,5,10,13,23,-10,0,0,0
"46",2014,"Corinthians",9,8,3,24,12,12,0,1,0
"47",2014,"Coritiba",4,8,8,17,18,-1,0,0,0
"48",2014,"Criciuma",4,6,10,9,26,-17,0,0,1
"49",2014,"Cruzeiro",14,4,2,43,19,24,1,1,0
"50",2014,"Figueirense",7,4,9,18,26,-8,0,0,0
"51",2014,"Flamengo",7,4,9,16,24,-8,0,0,0
"52",2014,"Fluminense",9,5,6,32,20,12,0,0,0
"53",2014,"Goiás",7,6,7,15,19,-4,0,0,0
"54",2014,"Grêmio",10,4,6,18,14,4,0,0,0
"55",2014,"Internacional",10,4,6,25,18,7,0,1,0
"56",2014,"Palmeiras",6,3,11,16,25,-9,0,0,0
"57",2014,"Santos",7,5,8,22,18,4,0,0,0
"58",2014,"São Paulo",11,6,3,35,22,13,0,1,0
"59",2014,"Sport",9,4,7,19,24,-5,0,0,0
"60",2014,"Vitória",4,6,10,19,27,-8,0,0,1
"61",2015,"Athletico Paranaense",9,3,8,23,23,0,0,0,0
"62",2015,"Atlético Mineiro",12,3,5,35,19,16,0,1,0
"63",2015,"Avaí",5,5,10,20,33,-13,0,0,1
"64",2015,"Chapecoense",8,4,8,17,18,-1,0,0,0
"65",2015,"Corinthians",13,4,3,30,14,16,1,1,0
"66",2015,"Coritiba",5,6,9,14,23,-9,0,0,0
"67",2015,"Cruzeiro",6,4,10,15,20,-5,0,0,0
"68",2015,"Figueirense",6,5,9,20,27,-7,0,0,0
"69",2015,"Flamengo",8,2,10,23,29,-6,0,0,0
"70",2015,"Fluminense",10,3,7,23,20,3,0,0,0
"71",2015,"Goiás",5,7,8,19,16,3,0,0,1
"72",2015,"Grêmio",11,4,5,29,17,12,0,1,0
"73",2015,"Internacional",7,7,6,16,21,-5,0,0,0
"74",2015,"Joinville",5,4,11,15,22,-7,0,0,1
"75",2015,"Palmeiras",9,4,7,33,20,13,0,0,0
"76",2015,"Ponte Preta",6,9,5,21,21,0,0,0,0
"77",2015,"Santos",7,6,7,30,26,4,0,0,0
"78",2015,"São Paulo",9,4,7,26,23,3,0,1,0
"79",2015,"Sport",7,10,3,32,23,9,0,0,0
"80",2015,"Vasco da Gama",3,4,13,8,34,-26,0,0,1
"81",2016,"América",3,4,13,12,31,-19,0,0,1
"82",2016,"Athletico Paranaense",9,3,8,20,19,1,0,0,0
"83",2016,"Atlético Mineiro",10,5,5,33,28,5,0,0,0
"84",2016,"Botafogo",7,5,8,26,30,-4,0,1,0
"85",2016,"Chapecoense",6,9,5,28,33,-5,0,0,0
"86",2016,"Corinthians",10,4,6,28,18,10,0,0,0
"87",2016,"Coritiba",5,7,8,23,28,-5,0,0,0
"88",2016,"Cruzeiro",5,5,10,26,34,-8,0,0,0
"89",2016,"Figueirense",4,9,7,18,25,-7,0,0,1
"90",2016,"Flamengo",10,4,6,23,20,3,0,1,0
"91",2016,"Fluminense",8,7,5,24,20,4,0,0,0
"92",2016,"Grêmio",10,5,5,30,21,9,0,0,0
"93",2016,"Internacional",6,4,10,21,24,-3,0,0,1
"94",2016,"Palmeiras",12,3,5,36,20,16,1,1,0
"95",2016,"Ponte Preta",9,3,8,25,31,-6,0,0,0
"96",2016,"Santa Cruz",5,4,11,22,28,-6,0,0,1
"97",2016,"Santos",11,3,6,35,17,18,0,1,0
"98",2016,"São Paulo",7,5,8,21,21,0,0,0,0
"99",2016,"Sport",7,5,8,30,29,1,0,0,0
"100",2016,"Vitória",5,8,7,26,30,-4,0,0,0
"101",2017,"Athletico Paranaense",8,5,7,25,23,2,0,0,0
"102",2017,"Atlético Goianiense",4,3,13,17,34,-17,0,0,1
"103",2017,"Atlético Mineiro",7,5,8,21,23,-2,0,0,0
"104",2017,"Avaí",5,6,9,11,25,-14,0,0,1
"105",2017,"Bahia",6,5,9,25,28,-3,0,0,0
"106",2017,"Botafogo",7,7,6,22,20,2,0,0,0
"107",2017,"Chapecoense",6,4,10,24,34,-10,0,0,0
"108",2017,"Corinthians",15,5,0,33,9,24,1,1,0
"109",2017,"Coritiba",7,4,9,21,26,-5,0,0,1
"110",2017,"Cruzeiro",7,6,7,23,19,4,0,0,0
"111",2017,"Flamengo",7,8,5,27,21,6,0,0,0
"112",2017,"Fluminense",6,9,5,29,27,2,0,0,0
"113",2017,"Grêmio",12,3,5,35,19,16,0,1,0
"114",2017,"Palmeiras",10,3,7,29,21,8,0,1,0
"115",2017,"Ponte Preta",6,6,8,20,24,-4,0,0,1
"116",2017,"Santos",10,6,4,22,13,9,0,1,0
"117",2017,"São Paulo",6,4,10,25,28,-3,0,0,0
"118",2017,"Sport",8,5,7,30,26,4,0,0,0
"119",2017,"Vasco da Gama",7,4,9,22,31,-9,0,0,0
"120",2017,"Vitória",5,4,11,21,31,-10,0,0,1
"121",2018,"América",7,4,9,20,24,-4,0,0,1
"122",2018,"Athletico Paranaense",5,6,9,22,21,1,0,0,0
"123",2018,"Atlético Mineiro",10,4,6,36,26,10,0,0,0
"124",2018,"Bahia",6,7,7,22,24,-2,0,0,0
"125",2018,"Botafogo",5,7,8,18,27,-9,0,0,0
"126",2018,"Ceará",3,8,9,12,23,-11,0,0,0
"127",2018,"Chapecoense",5,9,6,21,27,-6,0,0,0
"128",2018,"Corinthians",7,5,8,22,17,5,0,0,0
"129",2018,"Cruzeiro",7,6,7,16,17,-1,0,0,0
"130",2018,"Flamengo",12,4,4,30,15,15,0,1,0
"131",2018,"Fluminense",7,5,8,20,24,-4,0,0,0
"132",2018,"Grêmio",10,7,3,24,9,15,0,1,0
"133",2018,"Internacional",12,5,3,28,12,16,0,1,0
"134",2018,"Palmeiras",10,6,4,31,15,16,1,1,0
"135",2018,"Paraná",3,6,11,10,26,-16,0,0,1
"136",2018,"Santos",5,7,8,22,24,-2,0,0,0
"137",2018,"São Paulo",12,6,2,33,17,16,0,0,0
"138",2018,"Sport",5,5,10,19,32,-13,0,0,1
"139",2018,"Vasco da Gama",5,7,8,23,29,-6,0,0,0
"140",2018,"Vitória",5,4,11,20,40,-20,0,0,1
"141",2019,"Athletico Paranaense",8,3,9,26,20,6,0,0,0
"142",2019,"Atlético Mineiro",8,3,9,24,24,0,0,0,0
"143",2019,"Avaí",3,7,10,11,25,-14,0,0,1
"144",2019,"Bahia",8,7,5,23,18,5,0,0,0
"145",2019,"Botafogo",8,3,9,19,21,-2,0,0,0
"146",2019,"Ceará",6,4,10,21,21,0,0,0,0
"147",2019,"Chapecoense",3,5,12,17,33,-16,0,0,1
"148",2019,"Corinthians",9,8,3,23,13,10,0,0,0
"149",2019,"Cruzeiro",4,6,10,17,30,-13,0,0,1
"150",2019,"Csa",4,7,9,9,25,-16,0,0,1
"151",2019,"Flamengo",14,3,3,44,19,25,1,1,0
"152",2019,"Fluminense",5,3,12,21,32,-11,0,0,0
"153",2019,"Fortaleza",6,4,10,22,27,-5,0,0,0
"154",2019,"Goiás",7,3,10,20,32,-12,0,0,0
"155",2019,"Grêmio",8,7,5,30,22,8,0,1,0
"156",2019,"Internacional",11,3,6,26,17,9,0,0,0
"157",2019,"Palmeiras",12,6,2,31,14,17,0,1,0
"158",2019,"Santos",11,4,5,30,22,8,0,1,0
"159",2019,"São Paulo",9,8,3,23,14,9,0,0,0
"160",2019,"Vasco da Gama",6,6,8,19,27,-8,0,0,0
